Q1,Q2,Q3,Q4,Q5_3,I9#1_1,I9#1_2,I9#1_3,I9#1_4,I9#1_5,I9#1_6,I9#1_7,I9#1_8,I11,I12,I13,I14_1
Male,Bachelor's Degree,Hispanic or Latino,Did not vote,7,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,4.8
Male,Bachelor's Degree,Caucasian or White,Donald Trump,5.2,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Yes,No,No,5.8
Male,Some College,Caucasian or White,Did not vote,4.1,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,1.4
Female,Some College,Caucasian or White,Donald Trump,7,Should be deported,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Yes,Yes,No,1
Male,Some College,Caucasian or White,Hillary Clinton,5,Should be deported,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Yes,No,No,1
Female,High School,Caucasian or White,Did not vote,5.1,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,No,No,No,4
Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,5,Should be deported,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Should be deported,Should be deported,No,No,No,6.1
Female,Bachelor's Degree,Caucasian or White,Donald Trump,7,Should be deported,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Yes,No,No,1
Male,High School,African American or Black,Did not vote,4.1,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,No,No,No,4.8
Male,High School,Caucasian or White,Did not vote,5.5,Should be deported,Should be allowed to stay in US,Should be deported,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Yes,No,No,1.3
Male,Bachelor's Degree,Asian,Hillary Clinton,5,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,6
Female,Master's Degree,Caucasian or White,Donald Trump,5,Should be deported,Should be deported,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Should be deported,Should be deported,Should be deported,Yes,Yes,No,2
