Language,yearsInUS,deportIllegal,Vote,knowUndocumented,TrumpDiscrimination,AgeOrig,Sex1,BornInUS
EN,5,1,Trump,0,1,51-60,Male,1
EN,5,0,Clinton,1,7,51-60,Female,1
EN,3,0,Clinton,0,NA,41-50,Female,1
EN,5,1,Trump,0,1,31-40,Female,1
EN,5,0,Clinton,0,7,41-50,Female,0
EN,3,0,Other,1,7,18-24,Male,1
EN,4,0,Clinton,1,6.7,25-30,Female,1
EN,3,0,Clinton,1,5,31-40,Female,1
EN,5,0,Clinton,1,7,31-40,Male,0
EN,5,1,Trump,0,3,61+,Female,0
EN,3,0,Trump,1,4.8,25-30,Male,NA
ES,3,0,Did Not Vote,0,7,41-50,Female,0
EN,3,0,Other,1,6,18-24,Female,NA
EN,5,1,Trump,0,1,61+,Female,1
EN,3,1,Clinton,1,3.6,31-40,Male,1
EN,5,0,Clinton,1,5.2,31-40,Male,1
EN,5,1,Clinton,0,3,31-40,Male,1
EN,5,0,Clinton,0,5.8,41-50,Male,1
EN,3,0,Other,1,4.4,18-24,Female,NA
EN,4,1,Clinton,1,7,25-30,Female,1
EN,5,0,Clinton,0,7,61+,Female,1
EN,2,0,Clinton,1,7,31-40,Female,1
EN,5,1,Clinton,0,7,51-60,Female,NA
EN,5,0,Clinton,0,7,31-40,Female,1
ES,3,0,Clinton,1,6.1,25-30,Male,0
EN,4,0,Did Not Vote,1,7,25-30,Female,1
EN,5,1,Did Not Vote,0,7,31-40,Male,1
EN,5,0,Trump,1,3,61+,Female,0
EN,5,1,Did Not Vote,0,NA,31-40,Female,1
EN,4,0,Did Not Vote,1,7,25-30,Female,1
ES,3,0,Trump,1,NA,31-40,Male,0
EN,3,0,Did Not Vote,0,7,18-24,Female,1
EN,4,1,Trump,0,7,61+,Male,0
ES,1,1,Clinton,1,5,18-24,Male,0
EN,4,0,Other,0,NA,25-30,Female,1
EN,5,1,Clinton,1,4.7,51-60,Female,1
EN,1,0,Clinton,1,6.5,18-24,Female,NA
EN,4,1,Trump,0,2.7,25-30,Female,1
EN,3,1,Clinton,1,5.3,18-24,Female,1
EN,5,0,Other,1,7,41-50,Male,NA
EN,3,1,Trump,1,5.2,18-24,Female,1
EN,5,1,Trump,0,1,61+,Female,1
EN,5,1,Trump,0,3.1,61+,Female,1
EN,5,1,Clinton,0,6.9,61+,Male,1
EN,5,0,Clinton,0,5,41-50,Male,1
EN,3,0,Clinton,0,7,18-24,Female,1
ES,1,1,Clinton,0,2.8,31-40,Male,0
EN,4,0,Other,0,5.1,25-30,Female,1
EN,5,0,Clinton,1,6,31-40,Male,1
EN,5,0,Clinton,1,6.1,31-40,Male,1
EN,2,1,Did Not Vote,0,6,31-40,Male,0
ES,2,0,Did Not Vote,0,4.1,31-40,Female,0
EN,5,0,Did Not Vote,0,7,41-50,Male,1
EN,4,0,Clinton,1,7,25-30,Male,1
EN,5,0,Other,1,7,31-40,Male,0
EN,5,0,Clinton,0,7,51-60,Female,1
EN,4,0,Clinton,1,7,25-30,Female,1
EN,5,0,Other,1,6,31-40,Male,1
EN,5,1,Clinton,0,7,51-60,Male,1
EN,5,0,Clinton,1,7,61+,Male,1
EN,5,0,Clinton,0,NA,41-50,Female,1
EN,5,1,Trump,1,1,31-40,Male,1
EN,3,0,Clinton,1,6.5,25-30,Female,1
EN,2,1,Trump,0,5.2,25-30,Male,1
EN,5,0,Clinton,1,7,41-50,Male,1
EN,1,0,Did Not Vote,1,7,18-24,Male,1
EN,2,0,Did Not Vote,1,4.1,25-30,Male,1
ES,3,0,Trump,1,5.3,31-40,Male,0
EN,5,0,Clinton,1,6,31-40,Female,1
EN,5,0,Clinton,0,7,41-50,Male,1
EN,5,0,Clinton,1,7,41-50,Male,1
EN,5,1,Trump,1,1,61+,Male,1
EN,4,1,Trump,1,1,18-24,Female,NA
EN,5,1,Did Not Vote,0,2.5,31-40,Female,1
EN,5,0,Clinton,0,4.7,41-50,Female,1
EN,5,0,Did Not Vote,0,5.1,61+,Female,0
EN,5,0,Did Not Vote,1,4.8,31-40,Male,NA
EN,5,0,Clinton,1,7,31-40,Female,1
EN,5,0,Did Not Vote,0,5.9,31-40,Female,1
EN,3,0,Clinton,0,6,18-24,Female,1
EN,4,0,Clinton,1,5.6,25-30,Male,0
